Sección;Código;Descripción;PVR;PVP;Promoción
Páginas 120-121;40940791;Set Duet yerbera + azucarera AFA - Nuevo;10400,00;12999,99;
Páginas 122-123;40940794;Vaso con sorbete AFA 500 ml - Nuevo;6400,00;7999,99;
Páginas 122-123;40940795;Botella AFA 400 ml - Nuevo;8000,00;9999,99;
Páginas 122-123;40940796;Botella AFA La Selección 750 ml - Nuevo;8800,00;10999,99;
Páginas 122-123;47516005;Maquillaje artístico Stick Albi-celeste x 5 g - Nuevo;4800,00;5999,99;
Páginas 122-123;47940020;Esmalte Celeste y Blanco Set x 2 - Nuevo;3200,00;3999,99;
Páginas 122-123;50530225;Stickers Argentina - Nuevo;2400,00;2999,99;
Páginas 124-125;05080011;Body Splash Champions x 80ml;2800,00;3499,99;Llevá 2 Colonias Champions / Sweet Carolina a solo $3499.99 c/u (iguales o diferentes)
Páginas 124-125;05070001/3;Colonia p-niñas Sweet Carolina x 80ml;2800,00;3499,99;Llevá 2 Colonias Champions / Sweet Carolina a solo $3499.99 c/u (iguales o diferentes)
Páginas 124-125;Pregular;Body Splash Champions / Sweet Carolina x 80ml (Precio regular);3600,00;4499,99;
Páginas 126-127;05056701;Alcohol en gel Sweet Carolina 25g.;3360,00;4199,99;
Páginas 126-127;17090050;Spray desenredante Sweet Carolina x 125ml;4640,00;5799,99;
Páginas 126-127;17092003;Shampoo 2 en 1 Sweet Carolina x 200ml;4800,00;5999,99;
Páginas 126-127;17092004;Crema para peinar Sweet Carolina x 140gr;4640,00;5799,99;
Páginas 126-127;01546002;Eau de Cologne Sweet Carolina x 50ml;10000,00;16999,99;
Páginas 126-127;01601005;Colonia para niñas con glitter Sweet Carolina x 10ml;2358,00;3299,99;
Páginas 126-127;80070005;Bolsa infantil;1470,00;1690,00;
Páginas 128-129;01601004;Eau de roll on con glitter Princess Star 10ml;2358,00;3299,99;
Páginas 128-129;01601018;Eau de parfum roll on Princess x10ml;2358,00;3299,99;
Páginas 128-129;05057016;Baño de burbujas Princess x 200 ml;3760,00;4699,99;
Páginas 128-129;17090051;Spray Desenredante Princess x 74 ml;5280,00;6599,99;
Páginas 128-129;47633502;Balsamo lips care Princess x 5gr;3440,00;4299,99;
Páginas 128-129;01110204;Eau de Cologne Princess x 50ml - 100% Ganancia;7000,00;13999,99;
Páginas 128-129;01110205;Eau de cologne Magic Princess x 50 ml - 100% Ganancia;7000,00;13999,99;
Páginas 128-129;01110206;Eau de cologne Princess Star x 50ml;8236,00;13999,99;
Páginas 130-131;05802002;Perfume Infantil Peppa Pig x 50 ml;8000,00;9999,99;
Páginas 130-131;05810024;Splash Gaby's Dollhouse x 70 ml;5600,00;6999,99;
Páginas 130-131;05810026;Jabón Liquido Sally x 300 ml;12000,00;14999,99;
Páginas 130-131;05810027;Body Splash Sally x 125 ml;8800,00;10999,99;
Páginas 130-131;05810040;Body Splash George x 65 ml;4000,00;4999,99;
Páginas 130-131;05810043;Perfume K-POP x 50 ml;12000,00;14999,99;
Páginas 130-131;05810044;Body Splash K-POP x 65 ml;8000,00;9999,99;
Páginas 130-131;05810045;Perfume en Lata Saja Boys x 50 ml;13600,00;16999,99;
Páginas 130-131;05810046;Body Splash Saja Boys x 65 ml;8000,00;9999,99;
Páginas 130-131;47940007;Esmalte K-POP;2800,00;3499,99;
Páginas 132-133;05092014;Jabones Manitos Zoo Magic Set x 3;4400,00;5499,99;
Páginas 132-133;05100001/3;Colonia Manitos x 100 ml.;6000,00;7499,99;
Páginas 132-133;05100014/16;Colonia Manitos x 250 ml;6400,00;7999,99;
Páginas 134-135;05010102;Baño líquido Manitos x 200 ml;5360,00;6699,99;
Páginas 134-135;05127001;Oleo Calcáreo Manitos x 240 ml.;4400,00;5499,99;
Páginas 134-135;17080003;Shampoo para niños Manitos x 200ml;4400,00;5499,99;
Páginas 134-135;50521145;Antifiebre Conejito;3440,00;4299,99;
Páginas 134-135;05101002/11;Colonia para Bebés Manitos x 108 ml;4000,00;4999,99;
Páginas 136-137;05058020;Jabón Exfoliante Corporal Mundo Soap x 90 g;6000,00;7499,99;
Páginas 136-137;05058022;Jabón Corporal para Celulitis Mundo Soap x 90 g;6000,00;7499,99;
Páginas 136-137;05058023;Jabón Secativo Facial Mundo Soap x 90 g;6000,00;7499,99;
Páginas 136-137;16302004;Guante exfoliante;4688,00;5999,99;
Páginas 136-137;05058019;Jabón cremoso de ordeñe x 90 g;4400,00;5499,99;
Páginas 136-137;47633008/17;Bálsamo Millanel Lips Care;3200,00;3999,99;
Páginas 138-139;16011008;Crema para manos ultrahidratante con vitaminas x 135 g;3829,00;4899,99;
Páginas 138-139;16012007;Emulsión corporal vitaminas x 500 g.;9375,00;11999,99;
Páginas 138-139;16026503;Emulsión corporal con Aceite de Coco x 500gr;9375,00;11999,99;
Páginas 138-139;16026509;Emulsión corporal Aloe Vera x 500gr;9375,00;11999,99;
Páginas 140-141;05110100/5;Perfume Mist Sol do Brasil x 74ml;6400,00;7999,99;
Páginas 140-141;17060010/12;Baño de crema Pro expert x 200g;11200,00;13999,99;
Páginas 140-141;17072008/10;Serum capilar Pro Expert x 30ml;6400,00;7999,99;
Páginas 140-141;17073004;Protector termico Pro Expert x 125ml;4800,00;5999,99;
Páginas 140-141;17700001/3;Perfume para cabello Pro Expert x 70 ml;6000,00;7499,99;
Páginas 142-143;17068009;Mascarilla capilar Hydra x 150ml;7200,00;8999,99;
Páginas 142-143;17068010;Crema para peinar HYDRA;6400,00;7999,99;
Páginas 142-143;17072007;Serum Brillo Extremo Expert Queratina Millanel x 100ml;8000,00;9999,99;
Páginas 142-143;17300004;Crema para peinar Liso Extremo Expert c/Queratina x200ml;6400,00;7999,99;
Páginas 142-143;17300006;Baño de crema queratina con efecto BTX;7200,00;8999,99;
Páginas 142-143;17300009;Spray protector térmico Queratina x 125ml;5360,00;6699,99;
Páginas 142-143;17300011;Gel Antifrizz Con Aplicador Expert Queratina x 3.4 g;5600,00;6999,99;
Páginas 144-145;16810312;Crema para peinar Caribbean Blue x 140g;5600,00;6999,99;
Páginas 144-145;17072013;Serum capilar Caribbean blue x 30ml;6000,00;7499,99;
Páginas 144-145;17810313;Baño de crema Caribbean Blue x 150 g;8000,00;9999,99;
Páginas 144-145;17051501;Crema para peinar Rejuvenecedora Expert c-Argán x200ml;7600,00;9499,99;
Páginas 144-145;17072005;Serum nocturno Expert Argán x 95ml;7600,00;9499,99;
Páginas 144-145;17072011;Óleo rejuvenecedor Expert c/Argán x 30ml;6400,00;7999,99;
Páginas 144-145;17073003;Baño de Crema Expert Argán x 150 g;7600,00;9499,99;
Páginas 144-145;17101002;Óleo extraordinario 6 beneficios Expert Argán x 95ml;9600,00;11999,99;
Páginas 146-147;17900004/9;Spray Tapa Canas 58g/90ml;16000,00;19999,99;
Páginas 146-147;17820000;Kit de Coloración Coalix;5600,00;6999,99;
Páginas 146-147;50520083;Recipiente + pincel para tintura;4800,00;5999,99;
Páginas 148-149;05701603;Crema noctura Pédica Millanel Feet x 80 g.;3920,00;4899,99;
Páginas 148-149;05703004;Serum p/pies hidratación Intensiva Millanel Feet x 30gr;3760,00;4699,99;
Páginas 148-149;05705003;Crema refrescante y relajante para pies millanel feet X 120G;4000,00;4999,99;
Páginas 148-149;05705004;Gel Exfol. pedico Extra fuerte Millanel Feet x 120gr;4000,00;4999,99;
Páginas 148-149;05705010;Crema para pies con extra urea Millanel Feet x 80gr;3920,00;4899,99;
Páginas 148-149;05706002;Crema Exfoliante Pédica Millanel Feet x 120 g.;4000,00;4999,99;
Páginas 148-149;05058016;Jabón pédico Extra Fuerte Millanel Feet x 90 g;4240,00;5299,99;
Páginas 148-149;05702014;Talco desodorante extra fuerte Millanel Feet x 50gr;4400,00;5499,99;
Páginas 148-149;05706103;Solución Pédica Millanel Feet x 120g;4800,00;5999,99;
Páginas 148-149;05706104;Desodorante Pédico Extra Fuerte Millanel Feet x 125 ml.;4400,00;5499,99;
Páginas 148-149;05708002;Sal pédica Millanel Feet x 300 gr;5840,00;7299,99;
Páginas 148-149;50004027;Piedra pomez;3600,00;4499,99;
Páginas 150-151;05057505/21;Repuesto Doypack jabón líquido x 200 ml;3600,00;4499,99;
Páginas 150-151;50530007;Dispenser para Jabón Líquido Glamour;8000,00;9999,99;
Páginas 150-151;16023001;Balsamo Universal Millanel Zen x 18gr;6016,00;7699,99;
Páginas 150-151;16023002;Oleo Mix Corporal Millanel Zen x 10ml;7032,00;8999,99;
Páginas 150-151;16023003;Crema Corporal Lavanda y romero Millanel Zen x 100gr;6797,00;8699,99;
Páginas 150-151;16023004;Gel Corporal Millanel Zen;6797,00;8699,99;
Páginas 152-153;60000009;Citrato de Magnesio x 180 gr;20000,00;24999,99;
Páginas 152-153;60000012;Sup Dietario Creatina Micronizada x 300 g;29600,00;36999,99;
Páginas 152-153;60000005;Suplemento Dietario - Bella Skin x 30 camp;10400,00;12999,99;
Páginas 152-153;60000011;Suplemento dietario - Colágeno x 30 comp;10400,00;12999,99;
Páginas 152-153;60000013;Suplemento Dietario Melena de León – x 30 comp;24800,00;30999,99;
Páginas 152-153;60000014;Suplemento Dietario Lupines + Vitamina C – x 40 comp;5600,00;6999,99;
Páginas 154-155;20110200/2;Aceite para hornillo x 10ml;3200,00;3999,99;
Páginas 154-155;20350001/3;Aromat. para telas y amb x 330ml;6800,00;8499,99;
Páginas 154-155;20160001;Hornillo cerámico;6800,00;8499,99;
Páginas 154-155;50530049;Velas pack x 6 un;3200,00;3999,99;
Páginas 156-157;20008021;Sahumerio Cono Cascada x 10 un;2400,00;2999,99;
Páginas 156-157;20008032;Palo Santo x 50 g;4000,00;4999,99;
Páginas 156-157;20008033;Bombita para defumación Purificación x 4 un;2400,00;2999,99;
Páginas 156-157;20008034;Bombita para defumación Abundancia x 4 un;2400,00;2999,99;
Páginas 156-157;50530019;Sahumador redondo;2400,00;2999,99;
Páginas 156-157;20008040;Sahumerio x 5 Palo Santo, Reina y Lavanda;2400,00;2999,99;
Páginas 156-157;20008041;Sahumerio x 5 Rosa, Palo Santo y Ratnmala;2400,00;2999,99;
Páginas 156-157;20008042;Sahumerio x 5 Sándalo, Palo Santo y Benjui;2400,00;2999,99;
Páginas 156-157;20008043;Sahumerio x 5 Jazmin y Lavanda;2400,00;2999,99;
Páginas 156-157;20008049;Sahumerios Mix - Hierbas y Flores;4000,00;4999,99;
Páginas 156-157;50530020;Porta Sahumerio Sky;3200,00;3999,99;
Páginas 158-159;20007701;Sahumerio doble empaste x 10 un - Surtido;3680,00;4599,99;
Páginas 158-159;20007801;Sahumerio doble empaste x 10 un - Incienso;3680,00;4599,99;
Páginas 158-159;20050502;Sahumerio x 50 un - Surtido;4480,00;5599,99;
Páginas 158-159;20050503;Sahumerio x 50 un - Surtido de Flores;4480,00;5599,99;
Páginas 158-159;50530000;Porta sahumerio Manito Fátima Set x 3 un;3200,00;3999,99;
Páginas 158-159;80031002;Bolsa Chic;1731,00;1990,00;
Páginas 158-159;20330031/39;Aromat. p/telas y amb x 330ml;8000,00;9999,99;
Páginas 160-161;20500000;Aromatizante x 500 ml;8000,00;9999,99;
Páginas 160-161;20500556;Repuesto Aromatizante x 500ml;7200,00;8999,99;
Páginas 164-165;20500536;Ate x 500 ml Paraíso Azulado;8800,00;10999,99;
Páginas 164-165;20500543;Aromatizante Momentos Mágicos x 500 ml;8800,00;10999,99;
Páginas 164-165;20500552;Aromatizante Campos de Frutillas x 500 ml;8800,00;10999,99;
Páginas 164-165;20500561;Aromatizante Lavanderia Sweet x 500ml;8800,00;10999,99;
Páginas 164-165;20500563;Aromatizante Lavanderia Tentacion x 500ml;8800,00;10999,99;
Páginas 164-165;20500564;Aromatizante Bohemia x 500ml;8800,00;10999,99;
Páginas 164-165;20500565;Aromatizante Graffiti x 500ml;8800,00;10999,99;
Páginas 164-165;20500566;Aromatizante Runner x 500ml;8800,00;10999,99;
Páginas 164-165;20251317/21;Aromatizante x 250ml.;4800,00;5999,99;
Páginas 166-167;20265102/12;Aromatizante en Aerosol x 178 g / 262 ml;4640,00;5799,99;
Páginas 166-167;50521253;Dispenser automático Millanel Home;18400,00;22999,99;
Páginas 168-169;05800010;Crema repelente Basta Mosquito Extra Duración x 80g;2400,00;2999,99;
Páginas 168-169;05800014;Spray repelente Basta Mosquito Extra Duración x 195ml;3040,00;3799,99;
Páginas 168-169;05800017;Pouch Basta mosquito en crema Ext Duracion x 10gr;304,00;379,99;
Páginas 168-169;20008022;Sahumerios Largos Citronela para Jardín x 6 un;2640,00;3299,99;
Páginas 168-169;20008023;Sahumerios Citronela x 5 un;1600,00;1999,99;
Páginas 168-169;20008024;Pastillas de Citronela x 4 un;1600,00;1999,99;
Páginas 168-169;05800013;Spray repelente Basta Mosquito Extra Duración x 500ml;5200,00;6499,99;
Páginas 168-169;05800015;Aerosol repelente Basta Mosquito Extra Duración x 135g /170;4400,00;5499,99;
Páginas 168-169;05800016;Repuesto Repelente Basta mosquito x 500ml;4400,00;5499,99;
Páginas 170-171;50530154;Lunchera térmica impermeable;8000,00;9999,99;
Páginas 170-171;40940787;Hermético 550 cc + Botella 500 ml Fucsia - Nuevo;4800,00;5999,99;
Páginas 170-171;40940788;Hermético 550 cc + Botella 500 ml Verde - Nuevo;4800,00;5999,99;
Páginas 170-171;40940789;Hermético 550 cc + Botella 500 ml Turquesa - Nuevo;4800,00;5999,99;
Páginas 172-173;40940739;Jarra 2 L Glamour Azulino;12000,00;14999,99;
Páginas 172-173;40940740;Copa Agua 380 ml Glamour Azulino - set x 3;12000,00;14999,99;
Páginas 172-173;40940741;Copa Champagne 200 ml Glamour Azulino - set x 3;10400,00;12999,99;
Páginas 172-173;40940742;Copa Postre 350 ml Glamour Azulino - set x 3;10400,00;12999,99;
Páginas 172-173;40940743;Frutera 1,9 litros Glamour Azulino;12000,00;14999,99;
Páginas 172-173;40940744;Azucarera 330 ml con cuchara Glamour Azulino;7200,00;8999,99;
Páginas 174-175;40001121;Tarro Cosmos 1L;5600,00;6999,99;
Páginas 174-175;40001122;Tarro Cosmos 2L;7200,00;8999,99;
Páginas 174-175;40001123;Ensaladera Cosmos Gris;4000,00;4999,99;
Páginas 174-175;40001126;Canasto chico Black;3200,00;3999,99;
Páginas 174-175;40001127;Canasto mediano Black;4000,00;4999,99;
Páginas 174-175;40001128;Canasto grande Black;4800,00;5999,99;
Páginas 174-175;40940184;Pinche para Picada Set x 8 un;3200,00;3999,99;
Páginas 174-175;40940424;Copetinero turquesa;6400,00;7999,99;
Páginas 174-175;40940603;Vaso Cordobes;4800,00;5999,99;
Páginas 176-177;40001070;Batidor de silicona;5600,00;6999,99;
Páginas 176-177;40900082;Espátula de silicona;3200,00;3999,99;
Páginas 176-177;40940497;Cucharas medidoras set x 4;4800,00;5999,99;
Páginas 176-177;40940564;Flanera de silicona baja;7200,00;8999,99;
Páginas 176-177;40940565;Tartera de silicona 25 cm;7200,00;8999,99;
Páginas 176-177;40940440;Churrera;4000,00;4999,99;
Páginas 176-177;40940674;Hermético cuadrado 2300 ml;6400,00;7999,99;
Páginas 176-177;40940675;Hermético cuadrado 1400 ml;4800,00;5999,99;
Páginas 176-177;40940676;Hermético cuadrado 800 ml;4000,00;4999,99;
Páginas 178-179;40940085;Tapas de Silicona Set x 6 un;12000,00;14999,99;
Páginas 178-179;40940467;Mandolina multifunción Chef;16000,00;19999,99;
Páginas 178-179;40940772;Fábrica de Ñoquis - Nuevo;5200,00;6499,99;
Páginas 178-179;40940773;Contenedor a Rosca Set x 2 un - Nuevo;3440,00;4299,99;
Páginas 180-181;40940760;Soporte para bolsa;3200,00;3999,99;
Páginas 180-181;40940761;Canasto con tapa 15 x 20 x 8 cm;4000,00;4999,99;
Páginas 180-181;40940762;Dispenser con porta esponja;4800,00;5999,99;
Páginas 180-181;50530069;Cepillo 3 en 1;7200,00;8999,99;
Páginas 180-181;50530085;Limpia Vidrios con imán;16800,00;20999,99;
Páginas 182-183;50530034;Bufanda Soft 120 gr;16000,00;19999,99;
Páginas 182-183;50530040;Mini Neceser Lila;6400,00;7999,99;
Páginas 182-183;50530041;Neceser Lila;8000,00;9999,99;
Páginas 182-183;50008001;Mini planchita para cabello de viaje;18400,00;22999,99;
Páginas 182-183;50008002;Secador de cabello para viaje;21600,00;26999,99;
Páginas 182-183;50530104;Mini Buclera;20000,00;24999,99;
Páginas 184-185;43806068;Jgo de Toallón y Toalla Gris 400 gr;22500,00;26999,99;
Páginas 184-185;43020054;Juego de sábanas 2 1/2 plazas Lagos;30834,00;36999,99;
Páginas 186-187;05303036/283;Antitranspirante roll on x 50 g;3920,00;4899,99;Llevá 1 Antitranspirante + 1 Deo femenino a solo $9499.99 (iguales o diferentes)
Páginas 186-187;05307036/299;Deo Corporal femenino x 118 ml;3680,00;4599,99;Llevá 1 Antitranspirante + 1 Deo femenino a solo $9499.99 (iguales o diferentes)
Páginas 186-187;Pregular;Antitranspirante femenino roll on x 50 g (Precio regular);4800,00;5999,99;
Páginas 186-187;Pregular;Deo Corporal femenino x 118 ml (Precio regular);4960,00;6199,99;
Páginas 188-189;16010006;Emulsión manos y cuerpo vitaminas x 280;5313,00;6799,99;Llevá 2 Emulsiones x 280 g a solo $6799.99 c/u (iguales o diferentes)
Páginas 188-189;16010007;Emulsión corporal con Palta y Avena x 280 g;5313,00;6799,99;Llevá 2 Emulsiones x 280 g a solo $6799.99 c/u (iguales o diferentes)
Páginas 188-189;16026003;Emulsión corporal con aceite de coco x 280 g.;5313,00;6799,99;Llevá 2 Emulsiones x 280 g a solo $6799.99 c/u (iguales o diferentes)
Páginas 188-189;16028002;Emulsión corporal aloe vera x 280 gr;5313,00;6799,99;Llevá 2 Emulsiones x 280 g a solo $6799.99 c/u (iguales o diferentes)
Páginas 188-189;Pregular;Emulsión corporal x 280 g. (Precio regular);6250,00;7999,99;
Páginas 190-191;16015004;Crema para manos aloe vera x 80gr;2891,00;3699,99;
Páginas 190-191;16140004;Crema para manos con Palta y Avena x 80 g;2891,00;3699,99;
Páginas 190-191;16203002;Crema para manos con aceite de coco x 80 gr;2891,00;3699,99;
Páginas 190-191;16015005;Crema para rostro aloe vera x 50 gs.;3125,00;3999,99;
Páginas 190-191;16141007;Cremas para rostro con Palta y Avena x 50g;3125,00;3999,99;
Páginas 190-191;16143000;Crema para rostro con aceite de Coco x 50 g;3125,00;3999,99;
Páginas 192-193;05110503/21;Splash Corporal x 125 ml.;4800,00;5999,99;
Páginas 194-195;47371051/53;Delineador en fibra para ojos Colors x 1.5g;7200,00;8999,99;
Páginas 194-195;47474100;Mascara para pestañas Lovely Lashes x 13g;6000,00;7499,99;
Páginas 194-195;47100500/4;Labial So Cute x4gr;3040,00;3799,99;
Contratapa;01600001/298;Eau de parfum roll on x10ml;2000,00;2799,99;Comprando 1 Producto del Catálogo llevá 1 Eau de Parfum roll on a solo $2799.99
Contratapa;01600299;Eau de parfum Roll On N°299 x 10ml - Nuevo;2000,00;2799,99;Comprando 1 Producto del Catálogo llevá 1 Eau de Parfum roll on a solo $2799.99
Contratapa;Pregular;Eau de parfum Roll On x 10ml (Precio regular);2500,00;3499,99;
Revista Secretos - Contratapa;01060055;Loc. Nº 55 x 60 ml.;7250,00;14499,99;
Revista Secretos - Contratapa;01060071;Loc. Nº 71 x 60 ml.;7250,00;14499,99;
Revista Secretos - Contratapa;01060147;Loc. Nº 147 x 60 ml;7250,00;14499,99;
Revista Secretos - Contratapa;01060182;Loc. Nº 182 x 60 ml;7250,00;14499,99;
Revista Secretos - Contratapa;01060184;Loc. Nº 184 x 60 ml;7250,00;14499,99;
Revista Secretos - Contratapa;01060231;Loc Nº 231 x 60ml;7250,00;14499,99;
Revista Secretos - Contratapa;01060256;Loc Nº 256 x 60ml;7250,00;14499,99;
Revista Secretos - Contratapa;01060265;Loc Nº 265 x 60ml;7250,00;14499,99;
Revista Secretos - Contratapa;01060276;Loc Nº 276 x 60ml;7250,00;14499,99;
Revista Secretos - Contratapa;01060288;Loc Nº 288 x 60ml;7250,00;14499,99;
Revista Secretos - Contratapa;01060294;Loc. Nº 294 x 60 ml;7250,00;14499,99;
Revista Secretos - Contratapa;01060296;Loc Nº 296 x 60ml;7250,00;14499,99;
Revista Secretos - Contratapa;01060297;Loc. Nº 297 x60ml;7250,00;14499,99;
Revista Secretos - Contratapa;01060299;Loc Nº299 x 60ml;7250,00;14499,99;
Revista Secretos - Contratapa;01060303;Loc. Nº 303 x 60ml;7250,00;14499,99;
Revista Secretos - Contratapa;01060304;Loc. Nº 304 x 60ml;7250,00;14499,99;
Revista Secretos - Contratapa;01060305;Loc. Nº 305 x 60ml;7250,00;14499,99;
Revista Secretos - Contratapa;01060309;Loc Nº309 x 60ml;7250,00;14499,99;
Revista Secretos - Contratapa;01060310;Loc Nº310 x 60ml;7250,00;14499,99;
Revista Secretos - Contratapa;01060312;Loc. Nº 312 x 60ml;7250,00;14499,99;
Revista Secretos - Contratapa;01060313;Loc. Nº 313 x 60ml;7250,00;14499,99;
Revista Secretos - Contratapa;01060315;Loc. Nº 315 x 60ml;7250,00;14499,99;
Revista Secretos - Contratapa;01060317;Loc. Nº 317 x 60ml;7250,00;14499,99;
Revista Secretos - Contratapa;01060319;Loc. Nº 319 x 60ml;7250,00;14499,99;
Outlet;01030024;Loc. Nº 24 x 30 ml.;4500,00;;
Outlet;01030234;Loc Nº 234 x 30ml;4500,00;;
Outlet;01600071;Eau de parfum roll on alt n 71 x10ml;1500,00;;
Outlet;01600157;Eau de parfum roll on alt nro 157 x10ml;1500,00;;
Outlet;05306242;Deo Corporal femenina nº242 x 118 ml;2900,00;;
Outlet;05620006;Sobre perfumado Mistura de Frutas x 7g;2200,00;;
Outlet;16013009;Crema p/manos Frutilla & Vainilla x 50g;2200,00;;
Outlet;16076242;Crema Anti-Age Manos Nº 242 x 85 g.;2500,00;;
Outlet;47890024;Esmalte SC Shine Pink x 4.5 ml;1500,00;;
Outlet;47892012;Esmalte con glitter S.C Rainbow;1500,00;;
Outlet;47892013;Esmalte con glitter S.C Lollipop;1500,00;;
Outlet;50530113;Porta espiral de metal;4900,00;;
Outlet;50530185;Esponja limpia ranuras;2900,00;;
Merchandising;40006122;Mate Millanel;3900,00;;
Merchandising;78452102;Bolígrafo para Revendedora;590,00;;
Merchandising;78701201;Set de Plumines+portaplumín Nº1;15000,00;;
Merchandising;78701202;Set de Plumines+portaplumín Nº2;15000,00;;
Merchandising;78701203;Set de Plumines+portaplumín Nº3;15000,00;;
Merchandising;78701207;Set de Plumines + portaplumín Nº7;15000,00;;
Merchandising;78701304;Set de Plumines Fragancias Exclusivas Nº4;15000,00;;
Merchandising;78960223;Neceser Botinero Millanel;5900,00;;
Merchandising;78960288;Bolsa Reutilizable 25 x 25 cm;590,00;;
Merchandising;78960529;Estuche portaplumines c/cierre x 48 - Nuevo;19900,00;;
Material de Promoción y Venta;78359004;Remera Millanel azul francia M;12900,00;;
Material de Promoción y Venta;78359005;Remera Millanel azul francia L;12900,00;;
Material de Promoción y Venta;78604006;Pack Volante abre puertas x 250U;8900,00;;
Material de Promoción y Venta;78690001;Notas de Pedido;1100,00;;
Material de Promoción y Venta;78700010;Porta Plumin 10 u.;390,00;;
Material de Promoción y Venta;78750016;Demo plástico de Esmaltes;1500,00;;
Material de Promoción y Venta;00050000;Muestra Fragancia x 5 ml.;1500,00;;
Material de Promoción y Venta;00056500;Muestra Aromatizante x 5ml;1000,00;;
